Module Marks Summer 2013. ,,,,,
Undergraduate Degree Students,,,,,
Some qualifications are excluded (THEO COMDEG LOCDEG COMMST DEFT & DISDEG),,,,,
"Includes block codes 1,51,5S,R2 and 2 but excludes RB (year long)",,,,,
,,,,,
,,,,,
Qual Code,Qual Description,Year,Module,Mark,Grade
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GN110,88,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GN111,55,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GN120,,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GN121,,FAIL
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GR101,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GR102,,ABSENT
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY111,44,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY111,48,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY111,64,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY111,66,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY114,25,PASS BY COMPENSATION
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY114,30,PASS BY COMPENSATION
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY114,55,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY114,74,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY123,47,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY123,47,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY123,54,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY123,58,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY124,45,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY124,54,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY124,56,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,GY124,81,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY111,61,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY111,66,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY111,68,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY112,61,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY112,62,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY112,66,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY118,55,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY118,57,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY118,59,PASS
ANT,ARTS (ANTHROPOLOGY) SINGLE HONOURS,1,HY119,50,PASS
